n,fast,slow,score,avg_sharpe,std_sharpe,avg_calmar,worst_dd,splits
100,5,80,0.39591079964809545,0.7959171302633021,0.8000126612304134,1.3807938805286453,-0.1468885883324813,12
100,5,60,0.3935753552853311,0.7734242867418099,0.7596978629129575,1.2541799406914427,-0.13753396767451997,12
100,3,100,0.38870552212503673,0.7471029616675559,0.7167948790850383,1.1629389652566635,-0.12822160669579352,12
100,5,50,0.38295571272416834,0.7656569482377752,0.7654024710272137,1.234868857805817,-0.13758836272480568,12
100,5,100,0.3825767622169191,0.7853095811063576,0.805465637778877,1.3580597600443314,-0.1468885883324813,12
100,5,40,0.3729048182638252,0.7363430189563446,0.7268764013850387,1.145097771361342,-0.1295277457887739,12
100,3,80,0.3633670637898639,0.7198595471294197,0.7129849666791116,1.1210604992406068,-0.13020101556722896,12
60,5,50,0.359725825376869,0.7627810726022846,0.8061104944508312,1.265372576671524,-0.16631879413144113,12
60,5,40,0.3510368329889818,0.7451659443873391,0.7882582227967145,1.213379696342016,-0.14799825809349665,12
60,5,60,0.32845369289302623,0.7490875536978076,0.8412677216095626,1.3058988650403214,-0.16822897757219846,12
100,3,60,0.32266146898444265,0.7003918519947773,0.7554607660206692,1.0854820772527292,-0.12532899872171221,12
50,5,80,0.3200610554053549,0.7529616714913029,0.865801232171896,1.334443112604437,-0.18798551302385702,12
60,5,80,0.3197575504492177,0.7528134877779555,0.8661118746574756,1.3131669233145025,-0.1708655116306349,12
50,5,60,0.31731810856637543,0.755685957361702,0.8767356975906531,1.3437024051724382,-0.16470674774742045,12
80,3,100,0.3148515325121207,0.7380661608179099,0.8464292566115783,1.205575400526295,-0.14102986651797067,12
100,3,50,0.3072953381605754,0.6961615802074222,0.7777324840936937,1.1250603925007987,-0.13049559579746495,12
80,5,60,0.301117896295207,0.7556222223751791,0.9090086521599441,1.3478300287984348,-0.1648045627945952,12
50,5,100,0.2952097001030784,0.7375389163871784,0.8846584325682,1.3086254246452553,-0.20916705905294897,12
80,5,40,0.2916217652083364,0.7338563394335332,0.8844691484503937,1.2980117465658858,-0.16136791987442445,12
40,5,30,0.2865999257946708,0.6643368350620226,0.7554738185347035,1.0164765176560446,-0.12748987417171254,12
80,5,50,0.28583273965593803,0.740516636306991,0.909367793302106,1.3182332754503003,-0.16237621070471864,12
50,5,50,0.2790550398696586,0.7302657459323587,0.9024214121254002,1.270241748275085,-0.17500218700903314,12
80,2,100,0.2766394176044308,0.6715144869087278,0.7897501386085941,1.1149819686242435,-0.12663037828058188,12
80,3,50,0.27160277666413807,0.6952199694285794,0.8472343855288827,1.1373033631945586,-0.152634152837826,12
40,5,50,0.270284752829233,0.7061805894419205,0.8717916732253751,1.1886084589729362,-0.13019642992126146,12
80,3,80,0.2698010953140338,0.6979691560978604,0.8563361215676532,1.1309043689107023,-0.1400384012240622,12
100,5,30,0.26830848472953994,0.6722961324297673,0.8079752954004547,1.1000627042461764,-0.13942708838297102,12
80,2,80,0.2665615198505808,0.6615322293771992,0.7899414190532369,1.0925415202463145,-0.13491509150612124,12
50,5,40,0.2636736729384471,0.7108941148612091,0.894440883845524,1.2320604811090912,-0.16656686938649823,12
40,5,80,0.257278668934621,0.7290388361596977,0.9435203344501534,1.3511353227064167,-0.16530165397726637,12
80,3,60,0.25569144893980417,0.6771468887392248,0.8429108795988413,1.107178930003695,-0.15214464892092971,12
100,3,40,0.25337630317602355,0.6689212415947573,0.8310898768374675,1.112076047303238,-0.15156773814894708,12
40,5,100,0.2476843603004586,0.7249614658395261,0.9545542110781351,1.3430961383087752,-0.16530165397726637,12
60,5,100,0.23912414987011393,0.6985124157704315,0.9187765318006352,1.2579698082776014,-0.22016339485066772,12
100,2,100,0.23160100821147422,0.6493597321353537,0.8355174478477589,1.0706378220242372,-0.13675865620541394,12
80,5,30,0.21893623422836844,0.6662726667276875,0.8946728649986381,1.1404750203579934,-0.16241049824683917,12
40,5,40,0.21845983809126007,0.6644949227998483,0.8920701694171765,1.1318299104753178,-0.12928758196004297,12
80,2,60,0.20998612393897648,0.6382379225215372,0.8565035971651215,1.091684384357658,-0.13491509150612124,12
80,3,40,0.20430785451339245,0.6481560582735585,0.8876964075203321,1.0558895388178777,-0.1550085362506618,12
40,5,60,0.203010691566479,0.6902929135516752,0.9745644439703924,1.2378567548207935,-0.18938569317670917,12
80,5,100,0.19701877975406046,0.6994286011437597,1.0048196427793985,1.299711848827084,-0.2259899531525772,12
80,5,80,0.1959783388834372,0.6980148837590717,1.004073089751269,1.302718665457266,-0.22456206339081464,12
50,3,100,0.19191500818454088,0.6541257020032596,0.9244213876374374,1.1211808243648484,-0.15729024119847446,12
30,5,30,0.18509687154066556,0.6159895992720523,0.8617854554627735,0.9944643744930652,-0.13741965685330304,12
60,5,30,0.18501138541627,0.6438895443568543,0.9177563178811686,1.0980492062074878,-0.17192459403939064,12
100,2,80,0.17932488230064986,0.6213657130860375,0.8840816615707753,1.0656294319855542,-0.15216871368812823,12
30,5,60,0.17609093693657718,0.6780904116987084,1.0039989495242625,1.232773240788103,-0.2130204092533673,12
30,5,80,0.1734340258549495,0.6905108393125471,1.0341536269151952,1.266252079990381,-0.23696332281493082,12
30,5,100,0.17052635102041402,0.678674430030127,1.0162961580194259,1.2423260184469775,-0.23156902022079195,12
30,5,40,0.1701135896049097,0.6167235593444936,0.8932199394791679,1.0387255760777643,-0.13585026549328028,12
